"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          57, 1.15835523e-01, 8.55470054e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.98495776e-02, 8.29997089e-02, 1.17674155e-01, 0.00000000e+00, 1.35405701e+00, 1.25000000e+00, 0.00000000e+00, -1.40206245e+00, 9.77478758e-01, 9.87548531e-01, 4.04716845e+00, 0.00000000e+00, 8.0000000000, 2.4306627932, 0.0922495667
          58, 1.16424141e-01, 8.52365249e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01012113e-02, 8.26764616e-02, 1.18255861e-01, 0.00000000e+00, 1.36589498e+00, 1.25000000e+00, 0.00000000e+00, -1.40146476e+00, 9.78599533e-01, 9.92504570e-01, 4.04915171e+00, 0.00000000e+00, 8.0000000000, 2.4238898858, 0.0937597333
          59, 1.17037188e-01, 8.49521933e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.03897693e-02, 8.23788242e-02, 1.18862558e-01, 0.00000000e+00, 1.37768294e+00, 1.25000000e+00, 0.00000000e+00, -1.40104755e+00, 9.79741641e-01, 9.97615605e-01, 4.05081289e+00, 0.00000000e+00, 8.0000000000, 2.4188912955, 0.0952657333
          60, 1.17674224e-01, 8.46939247e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.07154144e-02, 8.21067202e-02, 1.19493809e-01, 0.00000000e+00, 1.38940573e+00, 1.25000000e+00, 0.00000000e+00, -1.40077625e+00, 9.80864613e-01, 1.00273800e+00, 4.05217454e+00, 0.00000000e+00, 8.0000000000, 2.4154082399, 0.0967846500
          61, 1.18334261e-01, 8.44616758e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.10778569e-02, 8.18601279e-02, 1.20148622e-01, 0.00000000e+00, 1.40104088e+00, 1.25000000e+00, 0.00000000e+00, -1.40061275e+00, 9.81939740e-01, 1.00774387e+00, 4.05326684e+00, 0.00000000e+00, 8.0000000000, 2.4131459709, 0.0983019500
          62, 1.19015693e-01, 8.42554245e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.14762966e-02, 8.16390603e-02, 1.20825393e-01, 0.00000000e+00, 1.41255823e+00, 1.25000000e+00, 0.00000000e+00, -1.40051694e+00, 9.82948751e-01, 1.01252296e+00, 4.05412567e+00, 0.00000000e+00, 8.0000000000, 2.4117836145, 0.0998016833
          63, 1.19716254e-01, 8.40751473e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.19093718e-02, 8.14435433e-02, 1.21521854e-01, 0.00000000e+00, 1.42391964e+00, 1.25000000e+00, 0.00000000e+00, -1.40044843e+00, 9.83881665e-01, 1.01698348e+00, 4.05479050e+00, 0.00000000e+00, 8.0000000000, 2.4109856245, 0.1013592833
          64, 1.20432982e-01, 8.39207934e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.23751202e-02, 8.12735909e-02, 1.22235045e-01, 0.00000000e+00, 1.43507917e+00, 1.25000000e+00, 0.00000000e+00, -1.40036843e+00, 9.84734423e-01, 1.02105212e+00, 4.05530210e+00, 0.00000000e+00, 8.0000000000, 2.4104151991, 0.1028804333
          65, 1.21162224e-01, 8.37922605e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28709572e-02, 8.11291802e-02, 1.22961309e-01, 0.00000000e+00, 1.44598347e+00, 1.25000000e+00, 0.00000000e+00, -1.40024165e+00, 9.85506349e-01, 1.02467340e+00, 4.05570021e+00, 0.00000000e+00, 8.0000000000, 2.4097493394, 0.1043868500
          66, 1.21899653e-01, 8.36893700e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.33936754e-02, 8.10102273e-02, 1.23696318e-01, 0.00000000e+00, 1.45657272e+00, 1.25000000e+00, 0.00000000e+00, -1.40003806e+00, 9.86196629e-01, 1.02780859e+00, 4.05602116e+00, 0.00000000e+00, 8.0000000000, 2.4086943792, 0.1058946333
